species,init_tl,final_tl,mutualist,mutualistic_producer,mean_tp,tp_sd,individuals,immigrants,born,dead
1,3,3,False,False,3.4979913040176194,0.09189570370836468,104,428,54,475
2,1,1,True,False,1.56,0.4963869458396343,19,397,22,416
3,2,2,False,False,3.383752034689163,0.06058835537572763,73,451,63,499
4,2,2,False,False,3.5876450761141165,0.0805050696497008,51,412,18,418
5,2,2,False,False,3.1897619047619044,0.10842251692739265,100,383,46,414
6,1,0,True,False,1.32,0.4664761515876241,9,410,6,413
7,0,0,False,True,1.0,0.0,72,98,107,193
8,3,3,False,False,4.331071958953071,0.07125792729699887,174,442,225,619
9,3,3,False,False,3.945978021978022,0.08115816715965209,97,428,43,462
10,2,2,False,False,3.685632294963629,0.05208592937219162,46,438,37,468
11,2,2,False,False,2.3807142857142853,0.08060991988380511,484,498,9964,10575
12,3,3,False,False,2.912237762237762,0.09624640596911693,103,423,64,504
13,0,0,False,True,1.0,0.0,14,93,2,97
14,1,1,True,False,1.92,0.27129319932501067,55,404,25,432
15,3,3,False,False,2.92,0.27129319932501067,70,377,46,447
16,1,1,True,False,2.0,0.0,71,391,53,480
17,2,2,False,False,2.3778571428571427,0.07753866711492527,1774,449,32727,33054
18,1,1,True,False,2.0,0.0,6629,345,180460,180687
19,2,2,False,False,4.494475469075499,0.05832045392682947,558,449,7462,7754
20,3,3,False,False,3.374588726729077,0.06621537941050092,564,403,1325,1664
21,0,0,False,True,1.0,0.0,30,90,34,115
22,2,2,False,False,4.210828241733039,0.07515933835118276,49,401,33,432
23,0,0,False,True,1.0,0.0,7438,86,187168,187271
24,2,2,False,False,2.979234109028227,0.05355945671736822,36,427,97,532
25,1,0,True,False,1.48,0.499599839871872,17,389,5,409
26,2,2,False,False,2.541333333333333,0.11156662185040439,42,452,1050,1565
27,2,2,False,False,3.423414569971092,0.09449222898913673,45,395,38,437
28,2,2,False,False,2.56,0.2619584360585135,32,390,36,421
29,0,0,False,True,1.0,0.0,10,114,0,111
30,2,2,False,False,3.0,0.0,51,417,17,427
31,0,0,False,True,1.0,0.0,76,97,240,354
32,1,1,True,False,2.0,0.0,84,357,31,391
33,1,1,True,False,2.0,0.0,23,373,24,402
34,0,0,False,False,1.0,0.0,85,103,128,251
35,2,2,False,False,2.9001212121212117,0.10327948476966924,87,423,53,490
36,0,0,False,True,1.0,0.0,4,92,7,101
37,1,1,True,False,2.0,0.0,41,409,31,461
38,1,1,True,False,2.0,0.0,30,406,30,453
39,2,2,False,False,2.3673333333333333,0.13617635624439364,50,411,42,445
40,0,0,False,False,1.0,0.0,85,115,127,262
41,0,0,False,True,1.0,0.0,5,96,8,108
42,0,0,False,True,1.0,0.0,14,74,3,86
43,0,0,False,False,1.0,0.0,135,77,187,265
44,0,0,False,False,1.0,0.0,3721,118,3127,3208
45,1,1,True,False,1.52,0.499599839871872,22,414,23,434
46,3,3,False,False,4.71557620624661,0.06467818817813406,1219,420,12406,12814
47,3,3,False,False,4.587645076114117,0.08050506964970076,74,362,46,420
48,2,2,False,False,2.3833333333333333,0.12247448713915893,55,422,41,454
49,2,2,False,False,2.945978021978022,0.0811581671596521,25,434,20,452
50,3,3,False,False,4.377955398323697,0.0732628492120746,412,380,738,1145
51,2,2,False,False,4.189761904761904,0.10842251692739274,25,440,15,448
52,3,3,False,False,3.9001212121212117,0.10327948476966936,104,372,37,404
53,0,0,False,False,1.0,0.0,138,120,122,189
54,1,1,True,False,2.0,0.0,4,403,29,435
55,0,0,False,True,1.0,0.0,51,82,85,182
56,1,1,True,False,1.92,0.27129319932501067,25,428,28,460
57,1,1,True,False,2.0,0.0,48,404,55,469
58,1,1,True,False,2.0,0.0,24,395,30,422
59,0,0,False,False,1.0,0.0,9,114,10,126
60,1,0,True,False,1.76,0.42708313008125237,63,365,29,385
