predator/prey,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.8552380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.1650485436893204,0.34615384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26666666666666666,0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0.24489795918367346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5492957746478874,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5366876310272537,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0.4153846153846154,0.28350515463917525,0,0,0,0,0.2129032258064516,0,0.21944444444444444,0,0,0,0,0.28205128205128205,0.21621621621621623,0.37993421052631576,0,0,0.27722772277227725,0,0,0,0,0,0.30646235842771485,0,0,0,0,0.31414868105515587,0,0,0.24691358024691357,0,0,0,0,0.28083989501312334,0,0,0,0,0,0.3060796645702306,0.2807017543859649,0,0.13736263736263737,0,0,0,0,0,0,0,0,0.3658774713204784
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18811881188118812,0,0,0,0,0,0.17854763491005995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18029350104821804,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4448552064078866,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0.8505239933811363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14084507042253522,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0.18461538461538463,0,0,0,0,0,0.13548387096774195,0,0,0,0,0,0,0,0.2972972972972973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08641975308641975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2032967032967033,0,0,0,0,0.22535211267605634,0,0,0,0.1342445691969734
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.557664233576642,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4788732394366197,0,0,0,0
20,0,0,0,0,1.2615384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10989010989011,0,0,0,0,0.9577464788732394,0,0,0,1.4813278008298756
21,0,0,0,0,0,0,0,0,0,0.6976744186046512,0,0,0,0,0,0,0,0,0,0,0,0.46296296296296297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0
22,0,0,0,0.14893617021276595,0,0,0,0,0,0.23255813953488372,0,0,0,0,0,0,0,0,0,0,0.0,0.2037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17894736842105263,0,0,0,0.11249513429349942,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3684210526315789,0,0,0,0,0,0,0,0,0,0,0
24,0,0.18857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22627737226277372,0,0,0,0,0,0,0
25,0,0.2,0,0,0,0,0,0,0,0,0,0.18146718146718147,0,0.20422535211267606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21568627450980393,0.3598326359832636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2759124087591241,0,0,0,0,0,0,0
26,0,0,0,1.127659574468085,0,0,0,0,0,0.9302325581395349,0,0,0,0,0,0,0,0,0,0,0,1.3703703703703705,0,0,0,0,0,0,0,0.8741258741258742,0,0,0,0,0,0,0,0,0,0,1.0421052631578946,0,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7333333333333333,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16216216216216217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0.7572815533980582,0.6923076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9565217391304348,0,0,0,0,0
29,0,0,2.2061068702290076,0,0,0,0,0,0,0,0,0,0,2.671361502347418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3881693408080418,0,0,2.450980392156863,2.430962343096234,0,0,0,0,0,0,0,0,0,0,0,0,0,2.573529411764706,0,0,0,0,0,0,2.259259259259259,0,0,0
30,0.6041666666666666,0,0,0,0,0.4690721649484536,0,0,0,0,0,0,0,0,0,0.6266057043326801,0,0,0,0.4161184210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4060751398880895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0.46511627906976744,0,0,0,0,0,0,0,0,0,0,0,0.8703703703703703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6222222222222222,0,0
32,0,0,0,0,0,0,0,0,0,0,0,13.876447876447877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.902957486136783,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0.14193548387096774,0,0,0,0,0,0,0,0.20270270270270271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12345679012345678,0,0,0,0,0,0,0,0,0,0,0,0.30701754385964913,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,3.408333333333333,0,0,0,0,3.2983682983682985,0,0,0,0,3.1782178217821784,0,0,0,0,0,2.8301132578281147,0,0,0,0,0,0,0,0,0,0,0,0,3.3648293963254594,0,0,0,0,0,3.211740041928721,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3967136150234742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16901408450704225,0,0,0,0
38,0,0.29333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,1.2723809523809524,1.0610687022900764,0,1.0923076923076922,0,0,0,0,0,0.8451612903225807,1.1185879757308328,0,1.295774647887324,0,0,0,0,0.9459459459459459,0,0,0,0,0,0,0,0,0,0,0,0,1.17398028223468,0,0,0.8627450980392157,0.8786610878661087,0.9012345679012346,0,0,0,0,0,0,0,0,0,0,0,0,0.9338235294117647,0.7747252747252747,0,0.9576642335766423,0,0,0.9295774647887324,0.9814814814814815,0,0,1.3627044178667318
