iteration,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
20,49079.063997792822,47474.212361726517,52926.643789734298,45472.147307119783,50806.328374775905,52654.931985402713,53958.311561518181,49460.22659460955,48398.83122895359,48168.662444766553,44596.941284295295,50308.901586569147,48044.981340158476,41828.098737305299,50065.538876894789,48376.04604394512,44898.089713751498,49031.063806610073,45932.560127417128,46875.107496596676,45559.0413813669,48694.394590843534,48323.282543637579,52573.872418610095,53827.407689652224,53600.979700034462,50167.656179118399,48433.475510994453,48367.616921102119,53485.830863775554,47441.811800189789,45487.629003882721,48077.149935099646,45081.254955733566,45329.633761583878,49118.317526870582,48899.676776296721,47257.278345187457,57748.36477891136,48819.415912545061,50293.06987189941,48189.636085612336,50408.427541140001,49045.902409706025,50932.881259639333,48311.511660992823,53939.770621168442,48570.806708830489,48603.293001590733,48060.083409045663,43833.254812151928,49505.34945984331,48819.762951395132,46414.279608435703,50054.986250636728,49746.744020993901,49069.888849929186,47143.650897155385,46230.472817299582,45439.687520949403
40,49841.96303150837,46287.619367509687,48617.316472979408,46396.314454595937,51671.204785282949,44653.720932748874,53067.214474342451,60335.620069680524,48423.041502473614,48527.716353213269,44288.649082948541,48272.973970091807,47893.465299570351,40770.08196017053,50907.403900760022,49079.131568270692,42080.388915392941,49957.004319492175,45570.074661352832,43541.613418001703,44313.461550459586,55644.540163412123,49254.528271007744,41632.639501404934,51810.68765463055,48683.619522607609,53809.122612531217,49117.257231380747,47199.433882126061,52964.580788781823,47177.663801263021,43905.375485344703,44925.461106213654,47373.814602171456,41637.486244531792,48058.801430554602,48865.690437224235,47328.101809149593,55959.299102303223,46418.164658180605,59181.984644932687,48034.520439231135,49161.045625065453,48414.540325209382,54591.472395318735,49565.704958357113,56275.386959843672,43778.377343897679,48493.332399095358,47001.518082606381,42352.275000897498,49913.341026714501,48428.289928299891,47075.040768352323,46112.41310772601,48533.866634142978,46710.440862754956,46012.213429157448,45367.417610126351,46595.383751483474
60,42852.075794901553,45881.121884505774,49037.342161228866,55757.28312188448,46367.431286746556,42560.882523014858,59642.177086030875,39666.403705297249,48893.253639078073,44790.926947326181,41155.527379477622,48017.143692776881,47942.175562529315,45662.549702112789,33716.166105451171,49145.868864646269,55633.106689910048,50451.686565955133,41626.202964340046,44145.792798365168,45035.986694018895,41223.519508171041,52038.239236814894,41151.387561871132,43560.993797634277,46004.175800899757,44088.877426359395,48932.061182482066,47671.51795104779,44340.446566747967,45704.185553534029,46055.028917200056,37053.676211161328,49010.532552057179,43906.139515846779,46869.452104610529,46707.52467362061,38438.505472225319,50232.141300334006,41862.6343908571,48245.174303004678,47349.565098753948,47219.356700399243,48795.394581655768,53051.717019873839,44859.697138801544,38090.220735902214,47485.811596236694,47821.804765566398,46327.734078811955,45003.553981123667,49701.71381536722,48143.440281790281,35842.311810036437,37756.289288334527,48643.205389530303,45314.344465378694,44521.526089421735,45386.844270685011,43737.688099931089
80,40702.264666039322,46248.201691530143,48176.780603545179,51563.945456568341,46435.84197432582,43193.283962491143,41585.015934140327,38728.84783984055,49144.26629026256,48690.653073943395,37930.222630523735,47825.172523102097,48370.822807387478,45039.14246624161,40923.171303824049,49739.758120116036,44875.95942971672,50443.474118478021,43020.713874519926,44023.15520030992,44667.820529765384,37242.000817327375,51529.533878257738,38989.019243379582,65831.45395564058,44573.486943051794,37947.555371483482,48272.240192192075,47698.094536658173,82542.159944160827,46217.400277977831,48492.764291300278,53614.903548110109,48328.896716712079,42516.413581697721,47077.253358988753,49716.756562615417,64191.08276832557,34510.940715075121,37290.05222782748,38319.981112643654,46949.728558318973,32586.624161933993,47734.141867521364,51226.68452206839,42938.67444543467,53194.753333047011,44960.999381782422,48029.529571250627,46320.582385223541,45570.586576464593,49990.207204979808,48454.535465218425,35842.311810036437,41680.028097963623,49616.672213017693,45752.005685896103,39672.420530921212,45870.099935136284,45449.458195172068
100,44404.896204929399,46154.42107929656,47714.589069472262,51563.945456568341,42442.60964328768,43850.812424112148,38182.072622251515,38728.84783984055,49448.025842518808,43215.072227696044,41196.417743642887,48942.79144007276,48864.446932726416,44187.43985429233,40923.171303824049,49759.354215581814,44875.95942971672,49922.180109991612,47005.384964344696,44765.43499966307,45376.507109662874,37242.000817327375,49332.29429011733,38989.019243379582,65831.45395564058,44025.805944995293,37947.555371483482,48507.969747515701,46194.677551682049,82542.159944160827,44897.608854846258,51717.131978599566,53614.903548110109,46890.415070268915,43585.878149315722,47742.750540905457,46411.53668992356,64191.08276832557,47974.022229200818,39088.347365876551,38319.981112643654,46778.552586513266,32586.624161933993,48229.751769773509,50767.867435187982,46224.543023876846,53194.753333047011,48928.489667240756,48654.319976088125,46091.014199352569,44322.47656473059,50714.769677652715,48231.645586782783,35842.311810036437,41680.028097963623,49286.590507301968,46102.277520328789,44693.75094923532,45409.593338082275,48756.450877693787
120,47083.073605197686,45557.430186145401,48119.924225677139,51563.945456568341,43637.498737615737,45493.036631407005,38182.072622251515,38728.84783984055,49226.494941801029,63164.423835411901,40032.402032476733,48894.876637607595,48205.733861385015,45301.910694903192,40923.171303824049,49642.634738518318,44875.95942971672,49248.961619903122,50094.45897222725,44455.860163354846,45191.127775003108,37242.000817327375,48233.055886719492,38989.019243379582,65831.45395564058,42358.640535575294,37947.555371483482,46852.128480176252,47293.246583767053,82542.159944160827,44579.511506497911,57227.796705520319,26369.006023507773,48556.30299668009,44633.139643664239,48122.173964277223,47409.626394823725,64191.08276832557,47974.022229200818,45798.688573577165,38319.981112643654,47562.989500426949,32586.624161933993,49192.840550675697,50285.117876408272,50034.703815356203,53194.753333047011,46454.884610147412,49296.476890190475,46173.306837092299,45488.926711965927,51327.639774453877,48441.638603724961,35842.311810036437,41680.028097963623,49621.093573923878,46179.770002410369,55500.387396904152,45984.982703379035,48372.246414647372
140,51561.208785464893,45780.400459055847,50842.005686002987,51563.945456568341,45896.985395846059,42406.065878556932,38182.072622251515,38728.84783984055,49541.866816274764,63164.423835411901,43063.96156203319,49089.576088212525,47467.259841868137,47211.897750919496,40923.171303824049,49535.598433741769,44875.95942971672,46581.391032672283,55854.256211981963,44389.906189991227,47352.837078911194,37242.000817327375,49465.643589144216,38989.019243379582,65831.45395564058,44033.649643335513,37947.555371483482,44651.149501121487,48783.068527865609,82542.159944160827,47768.69190872772,58194.474309853744,26369.006023507773,48674.558696038337,47440.05934374778,48748.506641522894,47926.663699368284,64191.08276832557,47974.022229200818,45798.688573577165,38319.981112643654,48162.462145745369,32586.624161933993,49072.442028310921,49345.399712070284,49437.869142756623,53194.753333047011,43575.625027185713,49622.215803728286,45925.457255229012,44193.490638679643,51576.442910990096,48262.287161049608,35842.311810036437,41680.028097963623,49098.830231596068,45077.117632563182,55500.387396904152,46186.873285939619,46140.290376948687
160,47824.657308004789,45681.444070324789,51745.038707717038,54790.268165276837,49202.453807359983,44666.500606920243,41757.80734255811,66567.821092810831,49614.017669980887,63164.423835411901,41452.890818571999,50062.964261901376,46604.029868722107,46949.467468026101,50944.471386998557,49262.861901768971,33553.950034883906,45948.75390866174,48096.811596232525,45836.80184627718,47993.391214741925,31805.005422937244,57175.433362835116,82870.097147736669,60462.778764103081,44642.079755937571,34978.601310696911,41734.95097531801,50617.733121965226,40422.535686292598,46392.899429652491,60587.296699503233,37406.423689414492,48976.403813216617,49069.451905456532,48222.093078335944,41111.719077875772,64191.08276832557,61084.608284886963,43926.882946506281,49394.586239425444,48807.244869832604,57062.798489627719,49191.422093334651,45967.636986415484,46396.601809888038,50261.395181280241,43540.123705166676,50774.298767733104,46148.783304019882,40437.672086017381,51864.116815254514,48609.737364085973,48878.825184419584,47679.516881019685,48640.734306613267,45543.153594068659,69173.278673553548,46621.013631273512,41718.401225041591
180,50018.990761114233,45973.258756309566,51296.949643094769,47940.355344299438,60085.954571090333,44767.748763097763,68738.590997734704,59229.700085672644,50097.340182828586,40063.541395669519,54061.461534695831,49856.525840021655,46207.439320574747,48522.448307702456,44535.342170796888,49134.660403349058,42395.370533609821,50227.160437913495,43258.355231313901,45584.633862872623,46671.167892375328,48343.613151603131,64881.61406307482,66046.163468097162,41086.149037392643,45208.647039363394,49521.109099428664,44893.510535683534,67753.235378569763,49969.261872022769,49204.670746852775,64288.102022889943,49742.083068252134,48373.138840806176,47638.156799222845,50036.484968993922,41694.590950055113,35953.24830661829,44862.95845600788,45197.851298238929,36562.389373229133,48908.635513201982,64583.126139520609,45459.860013854282,45792.393533363771,50742.290770931431,42243.776837073019,44328.298202489474,51012.779153527663,46256.753178438266,38304.717463888745,53264.360721601297,48724.485039172097,43635.054990831755,45736.250783125543,48385.623417626441,43523.380707014803,41080.70666136378,47413.915246380129,41758.35167591599
200,38912.918722627444,46111.572343282016,55002.978006147045,42601.503892788751,50754.962111636902,43085.75446434279,43729.190359574808,42784.354857067279,50587.062240331004,41901.408957019623,58928.768938298323,49412.187332397145,46924.474829957078,50449.883956376689,46789.726048641598,49009.501441024637,46392.40475776964,37750.848043425409,40428.130443204915,45458.348864101325,46356.84665182788,47409.795830728784,56408.641549399363,37370.625719132928,50249.759296999218,44664.305517996137,41698.025021290756,41451.544740026664,70575.759050588851,46033.053436296839,49490.304127888601,65300.661937321296,46761.712469611615,47375.369287288588,49586.614804659563,50687.589418204509,49051.309052171026,41529.469395839289,45688.960138244161,47818.588889156425,56262.595318426582,50662.067160406914,58461.242653501096,46386.440559757182,46017.201984146828,51229.718237009001,45487.83468685465,44328.298202489474,51883.28313006043,46219.616831582141,37594.028774521728,53947.116496143091,48778.283102249836,46731.456103562094,51502.909357733719,49026.372456820587,41715.886114133893,66680.482167264985,47423.680348007991,38791.642118720782
