iteration,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
20,[ 99.93824337  99.38472095],[ 99.23008357  98.6551532 ],[ 95.69073783  98.74882261],[  98.58688525  105.03278689],[ 101.3640553    97.33410138],[ 98.07565789  98.91447368],[  96.87265416  109.92627346],[ 105.14503817   86.87022901],[ 100.77242246  100.72506287],[ 98.9710926   98.84468398],[ 99.48088531  92.81086519],[ 101.12231969   98.60916179],[  97.54299433  100.57922305],[ 104.52380952   98.38928571],[ 103.77939394  100.02545455],[ 98.44829097  98.44040316],[  92.34985423  101.62390671],[ 99.13977128  98.95552732],[ 98.12946429  96.94196429],[ 103.00240964   93.80240964],[ 102.28776978   91.55395683],[ 101.13230769  102.02153846],[  96.59133489  110.20608899],[ 99.08403361  97.03865546],[ 100.31424581  100.3198324 ],[ 99.28506098  91.82469512],[ 102.09401709  105.38888889],[ 93.42676768  95.01515152],[  85.0987395   102.52521008],[ 94.83428571  85.81142857],[ 100.75855856   94.32432432],[  95.90440252  103.73333333],[ 99.65909091  98.93506494],[ 103.23306773   96.37051793],[  97.74144487  100.09505703],[ 98.79847182  98.89159503],[ 95.97907324  99.10463378],[ 102.25495751  109.30594901],[ 107.24346718   98.04015296],[ 98.78939394  90.38636364],[ 104.59687906   82.86085826],[ 99.71105528  99.60427136],[ 103.34551495  100.51495017],[ 98.41385135  94.53209459],[ 102.38409786  109.62201835],[ 100.31763122   99.15118887],[ 97.23427041  93.10977242],[ 102.42042042  103.9009009 ],[ 99.42046512  98.46930233],[ 100.71018968  100.1292457 ],[ 102.92656587  105.00647948],[  97.45033708  101.18426966],[ 101.02195122  100.79512195],[ 102.85897436  105.75213675],[ 100.28880866   96.98555957],[ 96.78886311  97.6049884 ],[ 103.99334073  103.51831299],[ 101.40819502   98.94346473],[  98.34877384  102.72070845],[  94.14189837  104.21572387]
40,[ 98.99004356  98.88985688],[ 99.03465003  99.3042273 ],[ 92.58605664  98.51198257],[ 84.96694215  92.74380165],[ 98.84615385  97.8959276 ],[ 105.75221239  102.64159292],[  91.19107551  101.89359268],[ 102.90151515   83.68939394],[ 101.295733    100.77186312],[ 96.83558719  98.33096085],[ 93.2541806   95.86287625],[ 100.56705882   98.30058824],[  97.12832264  100.04491292],[ 101.53545586   98.90448625],[ 99.1027027   99.14864865],[  97.54396135  101.12657005],[ 83.11176471  97.51176471],[ 100.09672619   99.03720238],[ 93.96934866  94.92337165],[ 101.53273138   96.06546275],[ 101.65116279   92.39276486],[ 105.63243243   95.04324324],[  91.21943231  109.28056769],[ 98.93402778  97.66666667],[ 85.18904594  96.56890459],[ 99.54181818  91.58636364],[ 97.125       98.45833333],[ 95.71624714  97.37070938],[ 76.5266559   95.58804523],[ 86.48736462  87.17689531],[ 99.88470874  94.58009709],[  90.57945425  104.03370787],[ 94.05298013  95.66887417],[ 105.23643411   88.27648579],[  91.65868263  101.2754491 ],[ 98.70804598  98.87068966],[ 96.69976905  98.38799076],[ 98.7632312   99.20334262],[ 105.7258636    96.19884854],[ 109.64700626   82.01340483],[ 109.1684435   78.6652452],[ 100.01094571  100.07311734],[ 105.45145631   91.2961165 ],[ 99.07194245  90.61870504],[ 102.17901955  111.68062445],[ 99.64933495  98.29564692],[ 92.21597633  87.9704142 ],[ 101.72413793  106.28840125],[ 100.56356838   97.52884615],[ 100.11243781  100.34179104],[  96.17598098  108.88941736],[  97.77402957  100.7310536 ],[ 99.73145486  99.70787809],[  96.00934579  103.95327103],[ 106.11377246   88.07784431],[ 96.67649282  97.12169312],[ 102.94919455  106.03097893],[ 100.57898604   97.57090375],[  94.36109008  105.27706283],[  86.27366448  106.29053421]
60,[ 91.46846847  98.58671171],[ 97.18396947  99.90076336],[  92.61772853  100.48753463],[ 61.7         80.06666667],[  94.15441176  106.16176471],[ 108.37980769  107.89423077],[ 84.33705357  92.82142857],[ 93.92105263  76.21052632],[ 101.63044397  100.43678647],[ 94.86503067  95.95092025],[  93.68644068  100.3940678 ],[ 99.07717042  98.26752412],[  97.2052381   100.42047619],[ 105.2023988   108.69115442],[  89.0617284   105.11111111],[  96.8987013   103.60727273],[ 65.11764706  90.84313725],[ 102.71453287  101.11245675],[ 99.36871508  98.15642458],[ 102.46311475   95.31352459],[ 102.91721133   89.76034858],[ 116.03278689   91.98360656],[  92.3227459   114.96106557],[  84.61538462  115.23076923],[ 72.86        92.42666667],[ 99.58843537  93.28503401],[ 124.43333333  108.73333333],[ 96.72943723  97.07142857],[ 75.45718232  99.27071823],[ 73.03  83.04],[ 98.58317757  96.0271028 ],[  88.80151229  103.92438563],[ 85.19512195  99.58536585],[ 105.85982009   87.63043478],[ 100.68382353  101.23529412],[ 99.50065189  99.61212516],[ 101.00668896   99.87625418],[ 87.43421053  85.25      ],[ 95.20445063  92.48956885],[ 94.34773446  83.02950474],[ 111.24866785   88.25932504],[  99.28420569  100.33195592],[ 119.           93.55405405],[ 98.01264881  86.76264881],[ 103.06267584  107.17302282],[ 95.29152542  97.21016949],[ 72.22222222  88.33333333],[ 100.79078014  105.89716312],[ 101.66022261   96.51200937],[  99.42972103  101.7473176 ],[ 107.84366925  107.99483204],[  98.65053513  100.13773848],[ 100.32254047   99.33748443],[ 94.43478261  96.34782609],[ 107.21621622   97.13513514],[ 95.53660797  98.06024096],[ 104.83952255  103.37400531],[ 99.83800623  96.86760125],[  91.77584442  101.49488229],[  88.05920519  106.92214112]
80,[ 86.62589928  96.51079137],[  96.86234177  100.01898734],[ 94.16938111  99.9218241 ],[ 73.15384615  77.46153846],[  99.36190476  106.45714286],[ 106.1036036   107.02702703],[ 80.81196581  82.23931624],[ 123.53846154   92.84615385],[ 102.29871742  100.27968556],[ 90.4784689   98.20574163],[  95.98895028  100.23756906],[ 99.04820847  98.62736156],[  97.02022694  101.11100148],[ 102.15285714  104.72571429],[  78.2  107.1],[  97.61629098  104.11219262],[ 50.07692308  93.61538462],[ 102.87341772  104.31012658],[ 106.21052632  104.95488722],[ 105.27592593   94.36481481],[ 103.48189135   89.9305835 ],[ 118.30769231  110.30769231],[  90.4315139  114.7476828],[ 93.83333333  84.25      ],[  60.65517241  102.44827586],[ 100.35534775   93.19579193],[ 115.875   103.4375],[ 96.8895966   96.43099788],[  77.15824468  104.00132979],[ 62.54545455  77.22727273],[ 97.72399329  95.41778523],[ 87.60634328  97.97947761],[  68.53846154  100.30769231],[ 106.97050428   88.77640343],[ 104.79310345  101.72413793],[ 100.2283992   100.05023443],[ 105.51304348  106.51304348],[ 71.625  91.875],[ 100.          101.41666667],[ 90.41982507  95.42274052],[ 110.44285714   76.93571429],[  97.89653513  100.96102021],[ 72.09090909  99.        ],[ 98.04103243  86.00794176],[ 101.54678727  105.02252027],[ 93.44094488  94.54330709],[  72.86956522  124.08695652],[  96.48627451  107.60392157],[ 103.62277354   97.02735369],[  99.93079399  101.71351931],[ 112.05316092  106.47270115],[ 98.71985158  99.46985158],[ 100.40791955   99.11627907],[ 91.1  69.4],[ 112.75   90.45],[ 96.19282051  99.45641026],[ 109.67286245  100.91078067],[  97.25688073  101.51834862],[ 91.17196702  98.82057322],[  84.78299776  111.19835943]
100,[ 85.68085106  95.02659574],[  96.78503185  100.04936306],[ 97.6730038   97.25095057],[  80.2  103.2],[ 104.85714286  109.44285714],[ 107.15966387  106.3487395 ],[ 92.59459459  93.16216216],[ 101.          137.16666667],[ 103.28069467  100.0319063 ],[  91.66666667  109.58333333],[  93.15151515  104.71212121],[ 99.0539119   98.72912558],[  95.58451073  101.83045526],[  98.07586207  100.21517241],[ 83.          60.71428571],[  97.76563269  103.89611029],[ 103.    61.5],[  97.10882353  106.84705882],[ 104.75510204  114.7244898 ],[ 106.54242928   94.49584027],[ 103.70630817   90.50775595],[  93.16666667  106.33333333],[  93.53837472  114.83860045],[ 161.2   96.3],[  93.  108.],[ 101.652124     93.74799082],[  98.25  101.  ],[ 100.97709924   99.12722646],[  79.2740448   103.16600791],[ 67.85714286  71.28571429],[ 96.39297659  95.18561873],[ 86.8992674   94.30586081],[ 118.3   77.7],[ 105.75378406   89.11940801],[ 107.32876712   96.09589041],[ 99.92587601  99.39218329],[ 108.50632911  105.34810127],[ 92.5  84.5],[ 89.13333333  77.23333333],[  83.55645161  105.72580645],[ 116.5  106.3],[  96.72860759  101.76708861],[ 112.          148.33333333],[ 97.97432521  85.77880184],[ 100.68745216  104.53836189],[ 93.25543478  95.97282609],[  82.3  100.9],[  95.37254902  108.09313725],[ 105.30917874   96.87301587],[ 101.39416446  101.76604775],[ 102.334375  101.85625 ],[ 100.44847059   99.23294118],[ 100.37839545   99.49147189],[  80.33333333  125.33333333],[ 119.77777778  101.77777778],[  96.85730725  100.25776755],[ 108.33489461   97.97423888],[  91.98333333  118.25      ],[ 90.21267958  96.73329169],[  81.71394231  108.40625   ]
120,[ 83.80952381  93.39047619],[ 96.9772549   99.84313725],[ 100.70135747   96.32126697],[  80.          101.66666667],[ 105.16666667  104.18518519],[ 109.05668016  105.30769231],[ 101.    90.8],[  45.  141.],[ 104.21973632  100.14822213],[ 86.25806452  97.70967742],[  94.23076923  104.62637363],[ 99.18283093  99.03342071],[  94.64918218  103.14833615],[ 97.16500711  97.31152205],[  66.66666667  132.66666667],[  97.55221072  103.83490122],[ 74.          63.83333333],[  98.78666667  107.56888889],[ 101.68965517  111.29310345],[ 105.7568   96.7984],[ 102.83699871   91.8538163 ],[ 89.6  95.6],[  94.23746702  113.30738786],[ 89.2  72.4],[ 61.2  88. ],[ 101.61622666   94.83837733],[ 126.5     69.125],[ 102.54109589   98.84246575],[  80.13419913  104.14574315],[ 92.          40.33333333],[ 95.82066277  95.48245614],[ 87.0088968   90.55871886],[ 107.78571429   67.57142857],[ 103.56613226   90.13802605],[ 112.     97.64],[ 100.33060668   99.27880027],[ 108.44036697  114.26605505],[ 173.33333333  131.        ],[  57.71428571  110.14285714],[ 80.08333333  85.04166667],[ 116.66666667  104.66666667],[  96.19013699  104.18410959],[ 100.4   82.6],[ 98.39002268  84.43688587],[ 100.35343802  104.52599334],[ 81.40659341  87.95604396],[  95.6  113.8],[  94.48344371  113.23178808],[ 105.72968869   97.72589218],[ 102.31172199  101.75      ],[ 100.15492958  108.04225352],[ 100.55209302   98.59348837],[ 100.13827781   98.91891892],[ 175.5   75. ],[  90.5  112.5],[  97.60962567  103.31818182],[ 108.56035437   97.3200443 ],[  96.28571429  132.38095238],[ 92.49986887  95.09572515],[  83.26810913  112.90404516]
140,[ 80.2   93.55],[ 97.08152174  99.3121118 ],[ 103.33990148   90.45320197],[ 53.66666667  59.        ],[ 93.46666667  97.84444444],[ 106.41818182  106.32      ],[  92.33333333  112.66666667],[ 93.57142857  49.57142857],[ 104.61162791  100.10620155],[ 61.25  70.  ],[  96.29032258  102.70967742],[ 99.57373868  99.05821475],[  93.89819588  104.25451031],[ 97.68174727  91.48361934],[ 180.5  108.5],[  97.35934017  104.19438252],[ 152.    79.5],[ 107.60227273  111.        ],[ 108.64705882  115.88235294],[ 105.81487102   97.86494689],[ 104.15584416   93.40445269],[  89.85714286  131.85714286],[  97.52531646  117.43670886],[ 118.8  142.6],[ 105.    75.9],[ 102.03598485   94.74621212],[ 129.     86.25],[ 102.14479638   98.51131222],[  81.21498371  107.83224756],[ 140.66666667   94.66666667],[ 95.4432133   95.21191136],[ 88.06070288  88.75239617],[ 93.   75.5],[ 102.27381411   92.21943695],[ 106.93333333   98.56296296],[ 101.07377599   99.95439302],[ 107.88764045  119.11235955],[ 92.85714286  97.71428571],[  79.28571429  117.28571429],[ 85.125  47.25 ],[  98.875  132.125],[  95.74593618  106.11559302],[  46.66666667  103.        ],[ 97.63141026  83.67200855],[  99.08189623  102.73945502],[ 68.75  73.  ],[  43.    126.25],[  95.75471698  114.19811321],[ 107.5699115    97.23097345],[ 102.38193744  100.80221998],[ 106.18926554  106.73446328],[ 101.16465677   98.08719852],[ 99.975625  99.19375 ],[ 146.33333333   71.33333333],[ 69.83333333  62.        ],[  97.6327504   103.84737679],[ 111.00744681   97.7       ],[  93.5  112.7],[ 93.39497987  93.92564528],[  91.01364522  111.99220273]
160,[ 70.42857143  91.85714286],[ 97.28290469  98.30484115],[ 100.81683168   86.42574257],[ 107.46153846   78.38461538],[ 115.5483871   104.06451613],[ 103.26072607  107.65346535],[  94.95238095  106.66666667],[  85.46666667  111.33333333],[ 105.02728972   99.69831776],[ 115.66666667   70.66666667],[ 106.15789474   97.39473684],[ 99.86809045  99.28831658],[  92.63005272  105.91652021],[ 100.26219512   89.47103659],[ 56.66666667  68.53333333],[  97.24978796  104.42366412],[  63.26315789  104.89473684],[ 113.390625  109.90625 ],[ 105.775   98.2  ],[ 107.33381295   98.93381295],[ 101.12578616   99.98113208],[ 96.      89.3125],[ 109.62237762  130.4032634 ],[ 106.15789474  131.63157895],[ 100.57142857  110.61904762],[ 100.59578207   95.50087873],[ 104.64705882  107.29411765],[ 102.82876712   98.39041096],[  92.7352381   116.21714286],[ 84.23529412  91.88235294],[ 91.32850242  98.5410628 ],[ 96.00243309  87.86861314],[ 102.47619048  103.19047619],[ 99.87507349  94.93092299],[ 110.46715328   96.45255474],[ 99.14908101  98.94077604],[  95.73684211  124.5       ],[ 82.3  85.9],[ 104.81818182  116.27272727],[ 102.33333333   95.5       ],[ 115.18181818  119.54545455],[  95.68650794  107.78888889],[ 85.18181818  80.72727273],[ 94.47204969  85.89440994],[  96.82330329  100.01683457],[ 75.30769231  54.30769231],[  85.21428571  107.28571429],[ 109.19354839   98.61290323],[ 108.63021421   97.36527621],[ 102.14534042  100.11154032],[ 107.15920398  107.79104478],[ 101.28577982   98.39908257],[ 100.31896552   98.88423645],[ 95.625   79.3125],[ 99.82352941  91.64705882],[  98.44373673  103.83651805],[ 111.35531136   99.91941392],[  74.23076923  104.84615385],[ 95.62106361  94.63107404],[  98.82003711  110.9851577 ]
180,[ 89.40909091  91.90909091],[ 96.8875      97.56029412],[ 99.42222222  86.96444444],[ 94.19230769  83.92307692],[ 110.81481481  113.74074074],[ 104.82662539  106.09287926],[ 111.34615385   92.23076923],[  94.0952381   113.76190476],[ 105.39667897   99.3797048 ],[ 109.46153846  110.15384615],[  85.03703704  103.        ],[  99.5752754   100.32007344],[  94.6453125  106.4140625],[ 107.38534279   83.97754137],[  89.69565217  103.34782609],[  97.32263117  104.47454973],[ 94.96296296  96.22222222],[ 121.11594203  107.69565217],[ 106.15384615   95.        ],[ 107.15        101.47878788],[  99.34782609  102.65217391],[  76.9  111.8],[ 128.78282828  141.2979798 ],[ 106.25925926  117.92592593],[ 124.78947368   91.63157895],[ 102.76708075   96.62111801],[ 114.47826087  111.7826087 ],[ 97.6641791   99.70895522],[ 104.45915493  136.76619718],[  77.38461538  112.15384615],[  97.25        102.88671875],[ 105.41961415   87.16720257],[ 102.88   97.68],[ 97.77527815  98.33255899],[ 104.41958042   95.62237762],[ 97.48778736  96.65373563],[  99.42857143  112.67346939],[  85.61904762  115.71428571],[ 81.24  90.16],[ 108.33333333   75.38095238],[ 102.6   85.1],[  93.86121437  108.80421314],[ 109.5         118.55555556],[ 90.55185185  88.94074074],[ 95.29150789  99.99346761],[ 95.68  75.48],[ 97.2962963   92.92592593],[  97.03333333  112.63333333],[ 107.76896552   99.06896552],[ 101.87888631   99.52157773],[ 102.36842105  110.82894737],[ 101.71363842   96.58903489],[ 100.71454656   98.71393792],[ 110.85714286  111.85714286],[ 99.1875  84.125 ],[ 102.04482759  101.56896552],[ 107.04857143  102.6       ],[ 101.22222222   81.88888889],[ 98.56572379  96.1418007 ],[  93.51254826  118.10521236]
200,[ 77.52173913  82.08695652],[ 96.42485955  96.25210674],[ 93.13114754  82.39344262],[  95.09090909  110.25      ],[ 89.38461538  92.65384615],[ 103.6474359  106.4775641],[ 106.32075472   99.16981132],[ 109.05   101.175],[ 105.289793     98.01962884],[ 103.83333333  119.22222222],[ 95.6969697   75.81818182],[ 100.14709371  101.81257414],[  95.44370861  106.2218543 ],[ 108.93411552   80.28700361],[ 78.51851852  92.25925926],[  98.0925656   104.25145773],[  98.17948718  112.97435897],[ 107.63157895  103.26315789],[ 103.44  101.  ],[ 106.3370607   102.57348243],[  98.2816092   100.36206897],[ 92.31818182  93.70454545],[ 114.50724638  128.62318841],[ 104.53658537   98.07317073],[ 127.32786885   83.04918033],[ 95.93886463  94.8558952 ],[ 107.08823529  103.05882353],[  92.65925926  100.0962963 ],[  92.12149533  141.05607477],[  69.56  121.68],[ 102.08653846  105.92788462],[ 112.94825108   89.43315764],[ 104.86842105   89.47368421],[  97.77524205  101.34981558],[ 101.44186047   93.83139535],[ 96.29115854  94.57393293],[ 105.75     126.71875],[ 98.84313725  96.01960784],[  89.72093023  109.53488372],[ 108.29090909   95.43636364],[  88.36363636  101.33333333],[  94.69082126  106.07729469],[ 94.11111111  99.96296296],[ 93.2         91.28648649],[ 96.92021277  99.40377176],[ 89.8125  87.125 ],[ 97.38461538  73.71794872],[  88.44444444  110.33333333],[ 106.80729167  100.48177083],[ 101.97145367   98.87307861],[ 138.91428571  114.82857143],[ 103.52040816   93.34566327],[ 100.67975831   98.41087613],[ 122.73170732  100.70731707],[ 94.57575758  87.09090909],[ 100.04        101.01714286],[ 102.78963731  105.89326425],[ 98.         77.9047619],[ 98.97033748  98.27477798],[  97.52793834  123.90751445]
