iteration,total_sp,total_count,prod_sp,prod_count,mut_prod_sp,mut_prod_count,herb_sp,herb_count,mut_sp,mut_count,prim_pred_sp,prim_pred_count,sec_pred_sp,sec_pred_count,shannon_index,shannon_eq,shannon_index_prods,shannon_eq_prods,shannon_index_herbs,shannon_eq_herbs,shannon_index_interm,shannon_eq_interm,shannon_index_top,shannon_eq_top
0,60,56013,11,27425,5,12575,8,4272,8,4271,23,6135,5,1335,5.255818160613288,0.8897774684570472,3.9997969221243395,0.9999492305310849,3.9999998516620163,0.9999999629155041,4.5235600000270875,0.9999995675907737,2.321928094887362,1.0
1,60,57532,11,27277,5,12400,8,4915,8,4887,23,6598,5,1455,5.314540211270915,0.8997187480028854,3.999811026896237,0.9999527567240593,3.9997267700119146,0.9999316925029786,4.523105571484596,0.99989910946797,2.3215384488676616,0.9998321885933683
2,60,58821,11,26945,5,12113,8,5574,8,5475,23,7127,5,1587,5.3726307600422905,0.9095531181898944,3.999733279852208,0.999933319963052,3.9992222126184074,0.9998055531546018,4.522345281380641,0.99973103614183,2.3214088918890137,0.9997763914397299
3,60,59011,11,26686,5,11882,8,5773,8,5629,23,7391,5,1650,5.396866278770657,0.9136560414345511,3.9996123633894087,0.9999030908473522,3.9987523617073357,0.9996880904268339,4.521737481318376,0.9995966729855011,2.3213627508798336,0.9997565195887101
4,60,58995,11,26434,5,11648,8,5924,8,5673,23,7604,5,1712,5.415785421567183,0.91685893515508,3.999401946370753,0.9998504865926883,3.9982217848124098,0.9995554462031024,4.520514380176147,0.9993262884623951,2.321656449298149,0.9998830086126218
5,60,59010,11,26207,5,11458,8,6040,8,5709,23,7815,5,1781,5.432524231829537,0.9196927120790674,3.999169167988772,0.999792291997193,3.9975785981893295,0.9993946495473324,4.517048883798198,0.9985601894431679,2.3215828506806906,0.9998513114133759
6,60,59090,11,26038,5,11286,8,6154,8,5728,23,8036,5,1848,5.447757893908896,0.9222716767361554,3.9989382023405313,0.9997345505851328,3.9965738910258977,0.9991434727564744,4.513559393222707,0.9977887861531524,2.3212256090298493,0.9996974558087911
7,60,59193,11,25876,5,11172,8,6266,8,5713,23,8250,5,1916,5.4608754705440115,0.9244924012311829,3.998760174574584,0.999690043643646,3.995492544542019,0.9988731361355048,4.508835638220299,0.9967445305315217,2.32057159653567,0.999415787958861
8,60,59283,11,25709,5,11012,8,6356,8,5723,23,8506,5,1977,5.474764013964381,0.9268436456288183,3.9984740427620458,0.9996185106905114,3.994150531374487,0.9985376328436217,4.500138258532908,0.9948218466439392,2.3196989009123063,0.999039938411545
9,60,59419,11,25575,5,10926,8,6401,8,5701,23,8765,5,2051,5.485897932852838,0.9287285491509412,3.9982842799029297,0.9995710699757324,3.992303925267313,0.9980759813168283,4.489636519976703,0.9925002826511785,2.318296716550088,0.9984360504766404
10,60,59518,11,25466,5,10840,8,6456,8,5633,23,9005,5,2118,5.494612918156506,0.9302039421961665,3.998074566602646,0.9995186416506615,3.989836724171938,0.9974591810429845,4.476997365888899,0.9897062114721863,2.317146533564515,0.9979406936272593
11,60,59617,11,25339,5,10712,8,6517,8,5606,23,9244,5,2199,5.504543777156657,0.9318851751290287,3.9977533323105803,0.9994383330776451,3.9882727478631526,0.9970681869657881,4.462740439921279,0.9865545079902588,2.314952932161619,0.9969959609252751
12,60,59804,11,25231,5,10625,8,6573,8,5584,23,9507,5,2284,5.513596841097972,0.9334178027940891,3.997445998796332,0.999361499699083,3.9865944728155966,0.9966486182038992,4.446046578572832,0.9828640840476633,2.3123001360269857,0.9958534638167408
13,60,59903,11,25106,5,10520,8,6630,8,5504,23,9772,5,2371,5.5213805720300995,0.9347355402409134,3.9970513170100053,0.9992628292525013,3.9831113306981316,0.9957778326745329,4.428075676160194,0.9788913513677063,2.3098113127575157,0.9947815859773925
14,60,60043,11,25007,5,10443,8,6644,8,5442,23,10056,5,2451,5.527739718613097,0.935812104379028,3.996792748829698,0.9991981872074245,3.981144063701646,0.9952860159254115,4.406197836501158,0.9740549326623668,2.307894932447261,0.9939562459014123
15,60,60166,11,24896,5,10354,8,6677,8,5387,23,10328,5,2524,5.533512243842193,0.9367893571545215,3.9964326923156985,0.9991081730789246,3.9788736773154723,0.9947184193288681,4.383354055608885,0.96900497841963,2.3061318932481027,0.9931969462473704
16,60,60165,11,24773,5,10235,8,6697,8,5322,23,10543,5,2595,5.537527864332028,0.9374691768371174,3.996037418020739,0.9990093545051848,3.9750926088271714,0.9937731522067929,4.361013028817836,0.9640661653762639,2.30474743886867,0.9926006942004268
17,60,60308,11,24651,5,10145,8,6745,8,5224,23,10882,5,2661,5.541501486210511,0.9381418864148836,3.995607744840499,0.9989019362101248,3.9713225754683683,0.9928306438670921,4.329139555751481,0.957020064675979,2.3026285808093165,0.9916881517043783
18,60,60435,11,24521,5,10059,8,6769,8,5118,23,11227,5,2741,5.545092917798573,0.9387498935431571,3.995310087927714,0.9988275219819285,3.967117332108402,0.9917793330271005,4.298753896482936,0.9503028671303904,2.3004759014984613,0.9907610431881434
19,60,60492,11,24371,5,9959,8,6763,8,5039,23,11527,5,2833,5.5477535532499695,0.9392003226493564,3.9948856288338,0.99872140720845,3.9638958784081417,0.9909739696020354,4.268249443890171,0.9435594085707214,2.296002330397206,0.9888343809839581
20,60,60608,11,24242,5,9846,8,6764,8,4940,23,11883,5,2933,5.5497669673101315,0.9395411811818741,3.9942916550874465,0.9985729137718616,3.959441981652064,0.989860495413016,4.234420850838079,0.9360810997997328,2.293899631547259,0.9879287978805981
21,60,60667,11,24083,5,9771,8,6715,8,4863,23,12222,5,3013,5.549947101360446,0.93957167676113,3.9937575288870355,0.9984393822217589,3.9568307877130504,0.9892076969282626,4.198943820676386,0.9282383797250824,2.2913298054290268,0.9868220340131507
22,60,60662,11,23912,5,9679,8,6675,8,4757,23,12560,5,3079,5.548527801556548,0.939331398093204,3.993297650848839,0.9983244127122097,3.9529489268462736,0.9882372317115684,4.16114539264083,0.9198824804574833,2.2886972730768997,0.9856882640407197
23,60,60653,11,23753,5,9571,8,6637,8,4654,23,12884,5,3154,5.545483351759147,0.9388159915949585,3.9928521058287805,0.9982130264571951,3.9478653251003153,0.9869663312750788,4.119803674395898,0.9107432846983591,2.2863583610709823,0.9846809494683747
24,60,60675,11,23561,5,9481,8,6610,8,4564,23,13215,5,3244,5.542543608805956,0.9383183113170512,3.992214711271397,0.9980536778178493,3.943965465744101,0.9859913664360253,4.078187478713267,0.9015434116587276,2.2835723110455484,0.9834810630328006
25,60,60727,11,23388,5,9416,8,6547,8,4479,23,13564,5,3333,5.53886007021466,0.9376947110434937,3.991796250773118,0.9979490626932795,3.9406619730498793,0.9851654932624698,4.038740264951251,0.8928230240205752,2.281920789853427,0.9827697915701925
26,60,60726,11,23202,5,9335,8,6474,8,4393,23,13908,5,3414,5.534407921029033,0.936940989755861,3.9911978416933844,0.9977994604233461,3.937114416530265,0.9842786041325663,4.000258949599941,0.8843161624532692,2.2795485309279986,0.9817481152613301
