species,init_tl,final_tl,mutualist,mutualistic_producer,mean_tp,tp_sd,individuals,immigrants,born,dead
1,0,0,False,False,1.0,0.0,49,364,96,465
2,0,0,False,True,1.0,0.0,335,368,547,896
3,1,1,True,False,2.0,0.0,78,1010,154,1191
4,2,2,False,False,5.097087378640778,1.7763568394002505e-15,34,1001,62,1069
5,1,1,True,False,2.0,0.0,65,1041,58,1107
6,2,2,False,False,3.5,0.0,221,1059,271,1316
7,2,2,False,False,3.8727272727272735,8.881784197001252e-16,77,1114,450,1548
8,2,2,False,False,3.7857142857142874,1.7763568394002505e-15,60,1007,81,1074
9,0,0,False,False,1.0,0.0,527,364,915,1284
10,0,0,False,False,1.0,0.0,28,343,84,430
11,1,1,True,False,2.0,0.0,215,1032,2533,3605
12,0,0,False,True,1.0,0.0,3888,366,82512,81460
13,0,0,False,False,1.0,0.0,212,372,418,775
14,1,1,False,False,2.0,0.0,651,1010,7777,8747
15,1,1,False,False,2.0,0.0,57,1026,55,1052
16,0,0,False,False,1.0,0.0,7020,335,9786,10856
17,2,2,False,False,2.8888888888888875,1.3322676295501878e-15,71,1029,103,1105
18,1,1,True,False,2.0,0.0,139,983,435,1418
19,1,1,True,False,2.0,0.0,60,965,60,1042
20,2,2,False,False,2.833333333333334,8.881784197001252e-16,420,1035,1478,2514
21,2,2,False,False,7.253593429158113,1.7763568394002505e-15,235,1037,149,1143
22,2,2,False,False,6.264403292181071,8.881784197001252e-16,45,1004,89,1093
23,1,1,False,False,2.0,0.0,90,993,110,1114
24,1,1,True,False,2.0,0.0,53,963,69,1009
25,2,2,False,False,2.5,0.0,77,1020,932,1957
26,3,3,False,False,6.792452830188677,2.6645352591003757e-15,276,1005,346,1324
27,2,2,False,False,3.0,0.0,53,994,36,1020
28,3,3,False,False,4.8428571428571425,8.881784197001252e-16,217,970,156,1125
29,2,2,False,False,2.875,0.0,2365,1140,17159,17597
30,2,2,False,False,4.2258064516129,2.6645352591003757e-15,564,982,6458,6945
31,3,3,False,False,7.253593429158113,1.7763568394002505e-15,252,966,126,1071
32,1,1,True,False,2.0,0.0,8996,875,117540,116502
33,2,2,False,False,2.75,0.0,44,1014,65,1079
34,2,2,False,False,3.5294117647058836,1.3322676295501878e-15,1195,1002,3708,4918
35,2,2,False,False,3.0,0.0,78,997,120,1142
36,0,0,False,False,1.0,0.0,120,343,267,633
37,1,1,False,False,2.0,0.0,76,965,83,1025
38,1,1,False,False,2.0,0.0,40,937,81,1018
39,2,2,False,False,2.75,0.0,715,1152,19618,21044
40,2,2,False,False,4.3100775193798455,0.0,144,934,9757,10860
41,2,2,False,False,3.5849056603773586,0.0,295,969,8345,9480
42,0,0,False,False,1.0,0.0,338,364,552,825
43,2,2,False,False,4.952095808383234,0.0,55,1002,97,1093
44,3,3,False,False,6.792452830188677,2.6645352591003757e-15,360,1043,410,1402
45,2,2,False,False,5.450070323488047,1.7763568394002505e-15,2277,991,8281,9950
46,0,0,False,False,1.0,0.0,51,392,100,499
47,1,1,True,False,2.0,0.0,69,979,201,1157
48,2,2,False,False,2.799999999999999,8.881784197001252e-16,632,1073,3214,4142
49,0,0,False,False,1.0,0.0,193,368,395,749
50,0,0,False,False,1.0,0.0,118,351,279,666
51,1,1,False,False,2.0,0.0,66,977,275,1254
52,0,0,False,True,1.0,0.0,3560,339,90605,90917
53,0,0,False,True,1.0,0.0,371,327,864,1156
54,2,2,False,False,3.0,0.0,50,960,62,1014
55,2,2,False,False,3.0,0.0,60,1031,56,1080
56,0,0,False,True,1.0,0.0,50,357,84,452
57,1,1,False,False,2.0,0.0,59,994,109,1139
58,0,0,False,False,1.0,0.0,54,393,101,497
59,3,3,False,False,2.799999999999999,8.881784197001252e-16,1779,970,6286,7245
60,1,1,False,False,2.0,0.0,2640,948,44901,46495
